Staedte
Königswinter, Stadt
Monheim am Rhein, Stadt
Nürtingen, Stadt
Schwabach
Weißenfels, Stadt
Pirmasens, Stadt
Bensheim, Stadt
Stendal, Hansestadt
Kirchheim unter Teck, Stadt
Germering, GKSt
Buxtehude, Hansestadt
Eberswalde, Stadt
Bautzen, Stadt
Bitterfeld-Wolfen, Stadt
Löhne, Stadt
Leinfelden-Echterdingen, Stadt
Völklingen, Stadt
Neumarkt i.d.OPf., GKSt
Schorndorf, Stadt
Hofheim am Taunus, Kreisstadt
Hückelhoven, Stadt
Freital, Stadt
Ettlingen, Stadt
Schwäbisch Hall, Stadt
Ahaus, Stadt
Ostfildern, Stadt
Würselen, Stadt
Maintal, Stadt
Mettmann, Stadt
Buchholz in der Nordheide, Stadt
Pirna, Stadt
Haltern am See, Stadt
Niederkassel, Stadt
Bernau bei Berlin, Stadt
Neu-Isenburg, Stadt
Kamp-Lintfort, Stadt
Langen (Hessen), Stadt
Fürstenfeldbruck, GKSt
Warendorf, Stadt
Greven, Stadt
Beckum, Stadt
Papenburg, Stadt
Backnang, Stadt
Königs Wusterhausen, Stadt
Coesfeld, Stadt
Erding, GKSt
Emsdetten, Stadt
Voerde (Niederrhein), Stadt
St. Ingbert, Stadt
Wesseling, Stadt
Porta Westfalica, Stadt
Suhl, Stadt
Sinsheim, Stadt
Kehl, Stadt
Lage, Stadt
Tuttlingen, Stadt
Meppen, Stadt
Kempen, Stadt
Saarlouis, Kreisstadt
Limburg a.d. Lahn, Kreisstadt
Wermelskirchen, Stadt
Datteln, Stadt
Zweibrücken, Stadt
Winsen (Luhe), Stadt
Cloppenburg, Stadt
Mörfelden-Walldorf, Stadt
Leer (Ostfriesland), Stadt
Viernheim, Stadt
Merseburg, Stadt
Barsinghausen, Stadt
Dietzenbach, Kreisstadt
Radebeul, Stadt
Hemer, Stadt4)
Geldern, Stadt
Seelze, Stadt
Balingen, Stadt
Crailsheim, Stadt
Goch, Stadt
Uelzen, Hansestadt
Steinfurt, Stadt
Hoyerswerda, Stadt
Bernburg (Saale), Stadt
Kornwestheim, Stadt
Bad Vilbel, Stadt
Wedel, Stadt
Mühlhausen/Thüringen, Stadt
Korschenbroich, Stadt
Ahrensburg, Stadt
Wernigerode, Stadt
Rheinfelden (Baden), Stadt
Altenburg, Stadt
Naumburg (Saale), Stadt
Deggendorf, GKSt
Biberach an der Riß, Stadt
Lampertheim, Stadt
Jülich, Stadt
Vechta, Stadt
Fürstenwalde/Spree, Stadt
Delbrück, Stadt
Forchheim, GKSt
Bad Nauheim, Stadt
Itzehoe, Stadt
Georgsmarienhütte, Stadt
Oer-Erkenschwick, Stadt
Achim, Stadt
Rheinberg, Stadt
Nienburg (Weser), Stadt
Herrenberg, Stadt
Bramsche, Stadt
Kreuztal, Stadt
Einbeck, Stadt
Schönebeck (Elbe), Stadt
Geestland, Stadt
Neuruppin, Stadt
Gevelsberg, Stadt
Riesa, Stadt
Emmerich am Rhein, Stadt
Werl, Stadt
Radolfzell am Bodensee, Stadt
Geesthacht, Stadt
Haan, Stadt
Osterholz-Scharmbeck, Stadt
Lohmar, Stadt
Burgdorf, Stadt
Schwedt/Oder, Stadt
Weil am Rhein, Stadt
Meschede, Kreis- und  Hochschulstadt
Ennepetal, Stadt der Kluterthöhle
Werne, Stadt
Merzig, Kreisstadt
Andernach, Stadt
Bad Hersfeld, Kreisstadt
Neuburg a.d.Donau, GKSt
Friedberg, St
Taunusstein, Stadt
Rietberg, Stadt
Höxter, Stadt
Gaggenau, Stadt
Oelde, Stadt
Waltrop, Stadt
Tönisvorst, Stadt
Güstrow, Stadt
Vaihingen an der Enz, Stadt
Northeim, Stadt
Bretten, Stadt
Bühl, Stadt
Zeitz, Stadt
Landsberg am Lech, GKSt
Springe, Stadt
Rösrath, Stadt
Unterschleißheim, St
Kelkheim (Taunus), Stadt
Schwandorf, GKSt
Friedberg (Hessen), Kreisstadt
Schwelm, Stadt
Idar-Oberstein, Stadt
Grimma, Stadt
Kevelaer, Stadt
Rendsburg, Stadt
Wegberg, Stadt
Winnenden, Stadt
Mühlheim am Main, Stadt
Leichlingen (Rheinland), Blütenstadt
Sundern (Sauerland), Stadt
Meißen, Stadt
Bad Neuenahr-Ahrweiler, Stadt
Wetter (Ruhr), Stadt
Königsbrunn, St
Aschersleben, Stadt
Baunatal, Stadt
Rödermark, Stadt
Geislingen an der Steige, Stadt
Verden (Aller), Stadt
Emmendingen, Stadt
Reinbek, Stadt
Olching, St
Hattersheim am Main, Stadt
